Site,gm,SE,df,gm_LC,gm_UC,Clss,pFailIns,pFail_LC,pFail_UC
BB010,119.86868778819917,15.69549021133391,2054,92.72237078950293,154.962628648527,C,0.2777777777777779,0.15645797452995697,0.4436897446070605
BL010,233.16250794949983,32.69796287052339,2054,177.09999932765544,306.9720797272252,"NA",0.5135135135135132,0.3564970922559413,0.6679072246094032
BL020,374.28344710484805,84.88488825770821,2054,239.90549477174895,583.9303468641696,"NA",0.6923076923076921,0.4945266351311003,0.8380452018263127
CW010,344.15626510073923,49.36457885811104,2054,259.7707811258721,455.95403106825324,"NA",0.5937499999999997,0.41922054013913196,0.7474301875389342
CW020,387.96287157835326,59.95323006971577,2054,286.53225709680765,525.2992847938543,"NA",0.7575757575757576,0.5849902457726156,0.8738652510662601
DB010,58.986322660150094,7.983738924888989,2054,45.234951387543994,76.91809439913378,AB,0.12903225806451624,0.049284294000960016,0.29744896456801345
DG010,192.43020732001037,26.045233322251235,2054,147.56931236020816,250.92876084450128,"NA",0.3,0.17893940530223756,0.4573424414208129
IN010,244.28060038789312,43.5893876647914,2054,172.15164170763984,346.63051211100543,"NA",0.3846153846153847,0.22095833587150965,0.5793445069956712
L010,197.6985102945946,24.797641014649063,2054,154.58696520439602,252.83309573367873,"NA",0.36170212765957444,0.23812674404399803,0.506751856041846
L020,117.85833885868799,24.09360361897669,2054,78.93104652813264,175.98383208536873,C,0.21052631578947373,0.08130929400416702,0.4455116260535029
M010,377.52767713147557,46.80643929007722,2054,296.04201185730267,481.4422997131508,"NA",0.7045454545454546,0.5551288059060331,0.8200461681914143
M030,30.966714163740136,4.0547516453417,2054,23.95377146278855,40.03283522966159,AB,0.06666666666666672,0.021660639398439645,0.1872841107861786
OB010,182.37456532793104,22.48222906379984,2054,143.20906497284537,232.25123413003558,"NA",0.2954545454545456,0.17995383180858568,0.4448711940939673
OB020,101.46557374368285,27.6566069449809,2054,59.4523157896552,173.16840426468528,C,0.22222222222222218,0.08596268418435962,0.4646670314587248
P020,96.70561095761975,12.059210666018494,2054,75.72583509642823,123.49781522749576,C,0.12195121951219516,0.051686191443468546,0.26140723296583096
P030,86.38057240819741,10.303115905175003,2054,68.36415194331121,109.14496965829593,C,0.11111111111111109,0.0470149271431069,0.2405349334502252
P050,64.60435586005747,14.377929615175853,2054,41.755353889564475,99.9565901688129,C,0.07407407407407406,0.01859664877637591,0.2524750706246732
P060,55.99592178839122,11.447162389301438,2054,37.50109454168145,83.61204640164722,AB,0.12500000000000006,0.04771788903016363,0.28940710261891944
P065,49.73446854646075,10.869132936528953,2054,32.39839067808577,76.34692062874518,AB,0.14285714285714274,0.054667827393433135,0.32448020267388683
P089,45.67681893180033,8.683832209699295,2054,31.461147361277987,66.3158200738844,AB,0.07142857142857155,0.017930309489373106,0.24476525933971763
P110,46.03906936311052,7.24512847297997,2054,33.813856566998254,62.68424022032407,AB,0.06666666666666662,0.016731252895828646,0.23067378092171711
P135,33.943810438219096,4.416349980453765,2054,26.2994973544036,43.81004897315385,AB,0.07317073170731711,0.023790774991423926,0.20366090573531598
P150,12.555541786900827,1.6993798420810677,2054,9.628491771676982,16.372411515823167,AB,3.4613375411031108e-12,2.2204460492503126e-16,0.9999999999999998
P160,13.968133041117255,2.178078122298933,2054,10.287991420716848,18.964706780515257,AB,0.04000000000000003,0.005605232757706063,0.23547068119783904
P170,11.346313666640821,1.708225553424909,2054,8.445550833348708,15.243391030630338,AB,4.603705241490333e-12,2.2204460492503126e-16,0.9999999999999998
P200,10.402596938920173,1.4807653332479456,2054,7.868744060762282,13.75238821316399,AB,0.027027027027027032,0.0037940567167678214,0.1684685983067657
PI010,271.0358522780439,32.50137263379706,2054,214.23695449073364,342.89337894440143,"NA",0.5306122448979592,0.3921127747119345,0.664551633882519
PI020,241.04650005754965,29.715013272692993,2054,189.28102077253746,306.9690503191984,"NA",0.4888888888888889,0.3477499168142325,0.6318219401670637
PL010,119.04377852568123,17.483456330409854,2054,89.25254798168409,158.77889792658496,C,0.20689655172413793,0.09602327945461224,0.39048915592556
PL020,220.75590024453214,31.18827488310059,2054,167.33397135928794,291.23295823857154,"NA",0.20000000000000004,0.09845322973140108,0.3639968249072252
PL030,283.70166484234085,50.62367552037704,2054,199.9328120212859,402.56841196104847,"NA",0.4615384615384616,0.2839002786223578,0.6495120422921145
PL040,436.9514480880482,55.463921360958224,2054,340.66161769145606,560.4581146537274,"NA",0.7073170731707317,0.5522199576784789,0.8256540122725318
TA010,198.05951657582904,28.40896887855609,2054,149.49626244710484,262.398346715395,"NA",0.42222222222222233,0.2879816826094895,0.5690292567614306
TA040,97.15366170258186,20.862992859559906,2054,63.76208222949874,148.0320850916779,C,0.27586206896551724,0.14437774139199325,0.4623797658242611
